module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,Follow Us: Delete Bean,delete any nc_social_follow_us bean,,,1,,,,1,1
bigmenu,,,,,,,,,,
,Administer Big Menu,administer bigmenu,,,1,,,,,1
,Use Big Menu,use bigmenu,,,1,,,,,1
block,,,,,,,,,,
,Administer blocks,administer blocks,,,1,1,,,1,1
boxes,,,,,,,,,,
,Edit boxes,edit boxes,,,1,,,,1,1
,Administer boxes,administer boxes,,,1,,,,1,1
breakpoints,,,,,,,,,,
,Administer Breakpoints,administer breakpoints,,,1,,,,1,1
captcha,,,,,,,,,,
,Administer CAPTCHA settings,administer CAPTCHA settings,,,1,,,,,1
,Skip CAPTCHA,skip CAPTCHA,,1,1,1,1,1,1,1
ckeditor_link,,,,,,,,,,
,Access CKEditor Link,access ckeditor link,,1,1,1,1,1,1,1
,Administer CKEditor Link,administer ckeditor link,,,1,,,,,
clone,,,,,,,,,,
,Clone any node,clone node,,,1,1,1,,1,1
,Clone own nodes.,clone own nodes,,,1,1,1,,1,1
comment,,,,,,,,,,
,Administer comments and comment settings,administer comments,,,1,,,,,1
,View comments,access comments,1,1,1,1,1,1,1,1
,Post comments,post comments,1,1,1,1,1,1,1,1
,Skip comment approval,skip comment approval,,,1,,,,1,1
,Edit own comments,edit own comments,,1,1,1,1,1,1,1
comment_notify,,,,,,,,,,
,Administer Comment Notify,administer comment notify,,,1,,,,,1
,Subscribe to comment notifications,subscribe to comments,,1,1,1,1,1,1,1
context_by_node,,,,,,,,,,
,create context_by_node,create context_by_node,,,1,,,,1,1
context_field,,,,,,,,,,
,Use Context Field Editor,use context field editor,,,1,,,,1,1
context_ui,,,,,,,,,,
,Administer contexts,administer contexts,,,1,,,,1,1
,Access All Blocks,context ajax block access,,,1,,,,1,1
contextual,,,,,,,,,,
,Use contextual links,access contextual links,,,1,,,,1,1
ctools,,,,,,,,,,
,Use CTools importer,use ctools import,,,1,,,,,
dashboard,,,,,,,,,,
,View the administrative dashboard,access dashboard,,,1,,,,1,1
defaultcontent,,,,,,,,,,
,Edit node machine name,edit node machine name,,,1,,,,,
delta_ui,,,,,,,,,,
,Administer Delta,administer delta,,,1,,,,,
devel,,,,,,,,,,
,Access developer information,access devel information,,,1,,,,1,1
,Execute PHP code,execute php code,,,1,,,,,1
,Switch users,switch users,,,1,,,,,1
elasticsearch_connector,,,,,,,,,,
,Administer elasticsearch connector,administer elasticsearch connector,,,1,,,,,
entity_autocomplete,,,,,,,,,,
,Use Entity Autocomplete,use entity autocomplete,,,1,,,,1,1
features,,,,,,,,,,
,Administer features,administer features,,,1,,,,,
,Manage features,manage features,,,1,,,,,
,Generate features,generate features,,,1,,,,,
,Edit feature machine name,rename features,,,1,,,,,
field_collection,,,,,,,,,,
,Administer field collections,administer field collections,,,1,,,,,1
field_group,,,,,,,,,,
,Administer fieldgroups,administer fieldgroups,,,1,,,,,1
filter,,,,,,,,,,
,Administer text formats and filters,administer filters,,,1,,,,,
,Use the Full HTML text format,use text format full_html,,1,1,1,1,1,1,1
,Use the Raw HTML text format,use text format raw_html,,1,1,1,1,,1,1
,Use the Filtered HTML text format,use text format filtered_html,1,1,1,1,1,1,1,1
follow,,,,,,,,,,
,Edit own follow links,edit own follow links,,,1,,,,,1
,Edit the site-wide follow links,edit site follow links,,,1,,,,,1
,Edit any user's follow links,edit any user follow links,,,1,,,,,1
,Administer follow,administer follow,,,1,,,,,1
,Change link titles,change follow link titles,,,1,,,,,1
googleanalytics,,,,,,,,,,
,Administer Google Analytics,administer google analytics,,,1,,,,,1
,Opt-in or out of tracking,opt-in or out of tracking,,,1,,,,,1
,Use PHP for tracking visibility,use PHP for tracking visibility,,,1,,,,,
i18n_node,,,,,,,,,,
,Administer content translations,administer content translations,,,1,,,,,1
i18n_string,,,,,,,,,,
,Translate user-defined strings,translate user-defined strings,,,1,,,,,
,Translate admin strings,translate admin strings,,,1,,,,,
image,,,,,,,,,,
,Administer image styles,administer image styles,,,1,,,,,1
imce,,,,,,,,,,
,Administer IMCE,administer imce,,,1,,,,,1
jcaption,,,,,,,,,,
,Access jCaption settings,access jcaption settings,,,1,,,,,
locale,,,,,,,,,,
,Administer languages,administer languages,,,1,,,,1,1
,Translate interface texts,translate interface,,,1,,,,1,1
maxlength,,,,,,,,,,
,Bypass maxlength setting,bypass maxlength,,,1,,,,,1
menu,,,,,,,,,,
,Administer menus and menu items,administer menu,,,1,,,,,1
menu_attributes,,,,,,,,,,
,Administer menu attributes,administer menu attributes,,,1,,,,,1
metatag,,,,,,,,,,
,Administer meta tags,administer meta tags,,,1,,,,,1
,Edit meta tags,edit meta tags,,,1,,,,1,1
microdata,,,,,,,,,,
,Administer microdata,administer microdata,,,1,,,,,1
migrate,,,,,,,,,,
,Access to basic migration information,migration information,,,1,,,,,1
,Access to advanced migration information,advanced migration information,,,1,,,,,1
module_filter,,,,,,,,,,
,Administer Module Filter,administer module filter,,,1,,,,,1
nc_addressfield_staticmap,,,,,,,,,,
,Administer NC Address Field Static Map,administrator addressfield nc_addressfield_staticmap,,,1,,,,,
nc_permissions,,,,,,,,,,
,NC Permissions Export,nc_permissions export,,,1,,,,,
,NC Permissions Import,nc_permissions import,,,1,,,,,
,NC Permissions Reset,nc_permissions reset,,,1,,,,,
nc_search,,,,,,,,,,
,Administer search,administer nc search,,,1,,,,,
,Use search,search nc content,1,1,1,1,1,1,1,1
node,,,,,,,,,,
,Bypass content access control,bypass node access,,,1,,,,,1
,Administer content types,administer content types,,,1,,,,,1
,Administer content,administer nodes,,,1,,,,1,1
,Access the content overview page,access content overview,,,1,1,1,1,1,1
,View published content,access content,1,1,1,1,1,1,1,1
,View own unpublished content,view own unpublished content,,,1,1,1,1,1,1
,View content revisions,view revisions,,,1,1,1,,1,1
,Revert content revisions,revert revisions,,,1,1,,,1,1
,Delete content revisions,delete revisions,,,1,,,,1,1
,Data Table: Create new content,create data_table content,,,1,1,1,,1,1
,Data Table: Edit own content,edit own data_table content,,,1,1,1,,1,1
,Data Table: Edit any content,edit any data_table content,,,1,1,1,,1,1
,Data Table: Delete own content,delete own data_table content,,,1,1,1,,1,1
,Data Table: Delete any content,delete any data_table content,,,1,,,,1,1
,Landing Page: Create new content,create landing_page content,,,1,,,,1,1
,Landing Page: Edit own content,edit own landing_page content,,,1,,,,1,1
,Landing Page: Edit any content,edit any landing_page content,,,1,,,,1,1
,Landing Page: Delete own content,delete own landing_page content,,,1,,,,1,1
,Landing Page: Delete any content,delete any landing_page content,,,1,,,,1,1
,Video: Create new content,create video content,,,1,,,,,
,Video: Edit own content,edit own video content,,,1,1,1,,1,1
,Video: Edit any content,edit any video content,,,1,1,1,,1,1
,Video: Delete own content,delete own video content,,,1,1,1,,1,1
,Video: Delete any content,delete any video content,,,1,,,,1,1
